_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result
448,122,447,1753424241642,354,1753716723299.0,292481657.0,True,-1,1,0,0,0,0,1,138.0,0,156,156,134,360,1753431441642.0,471,1,3612,33,False,0,398,62,51,False,4779.0,0,1,7.7095602439305955,Anomaly,Anomaly
449,95,448,1753523531012,350,1753523613714.0,82702.0,True,-1,1,0,0,0,0,1,138.0,0,308,308,145,361,1753530731012.0,448,1,106293,14,True,0,180,25,26,False,106161.0,0,0,7.256784890298414,Anomaly,Anomaly
458,20,457,1753874236209,361,1753875712468.0,1476259.0,True,-1,0,0,0,2,0,2,141.0,0,70,70,146,369,1753881436209.0,132,1,93359,45,True,0,307,83,64,False,94526.0,0,1,4.022026232331317,Anomaly,Anomaly
461,16,460,1753880939208,-1,,,False,1,0,0,0,1,4,0,138.0,0,-1,-1,-1,-1,,48,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,6.049820076831572,Anomaly,Anomaly
460,20,459,1753875798987,363,1753962798062.0,86999075.0,True,-1,0,0,0,2,0,2,141.0,0,73,73,211,371,1753882998987.0,120,1,93359,45,False,0,308,83,64,False,94526.0,0,1,4.044760379224031,Anomaly,Anomaly
464,3,463,1753962798062,366,1753965824078.0,3026016.0,True,-1,0,0,0,2,0,3,138.0,0,71,71,177,373,1753969998062.0,54,1,93359,45,True,0,309,83,64,False,94526.0,0,1,4.724092755018081,Anomaly,Anomaly
462,16,461,1753880975788,364,1753963386049.0,82410261.0,True,-1,0,0,0,1,4,0,138.0,0,112,112,289,372,1753888175788.0,477,1,784,9,False,0,294,17,17,False,66.0,0,0,5.363242411858587,Anomaly,Anomaly
467,50,466,1753987612662,367,1753987625721.0,13059.0,True,-1,0,0,0,2,0,0,138.0,0,218,218,217,376,1753994812662.0,514,1,200013,20,True,1,299,35,18,False,159365.0,0,0,16.170314067834166,Anomaly,Anomaly
470,20,469,1754036068155,-1,,7200000.0,True,-1,0,0,0,2,0,2,141.0,0,123,123,224,379,1754043268155.0,125,1,1424,2,False,0,33,3,7,False,705.0,0,0,4.337430568794408,Anomaly,Anomaly
472,49,471,1754136536703,-1,,,False,1,1,0,0,0,0,1,138.0,0,-1,-1,-1,-1,,112,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,7.375569236318506,Anomaly,Anomaly
480,7,479,1754995830725,-1,,,False,1,0,0,0,2,0,0,139.0,0,-1,-1,-1,-1,,117,1,3612,33,False,0,413,-1,51,False,4779.0,0,2,3.9360057703654023,Anomaly,Anomaly
483,7,482,1755155281981,-1,,7200000.0,True,-1,0,0,0,2,0,0,139.0,0,362,362,112,389,1755162481981.0,119,1,110818,18,False,0,91,33,33,False,110682.0,0,0,4.67696744851121,Anomaly,Anomaly
482,7,481,1754996062291,379,1755165005086.0,168942795.0,True,-1,0,0,0,2,0,0,139.0,0,350,350,410,388,1755003262291.0,115,1,106901,30,False,0,190,58,43,False,106769.0,0,0,3.882162913081986,Anomaly,Anomaly
485,16,484,1755166693933,381,1755166742893.0,48960.0,True,-1,0,0,0,1,4,0,139.0,0,339,339,18,391,1755173893933.0,476,1,106901,30,True,0,192,58,43,False,106769.0,0,0,6.107612300050277,Anomaly,Anomaly
486,16,485,1755167031465,382,1755167289445.0,257980.0,True,-1,0,0,0,1,4,0,139.0,0,348,348,368,392,1755174231465.0,41,1,106901,30,True,0,193,58,43,False,106769.0,0,0,5.955215746466628,Anomaly,Anomaly
487,16,486,1755167345503,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,42,1,108525,37,False,0,413,-1,63,False,108389.0,0,2,6.618092947764348,Anomaly,Anomaly
488,16,487,1755167362648,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,43,1,108525,37,False,0,413,-1,63,False,108389.0,0,2,6.620146021227818,Anomaly,Anomaly
490,16,489,1755169427457,-1,,7200000.0,True,-1,0,0,0,1,4,0,139.0,0,345,345,219,393,1755176627457.0,44,1,106901,30,False,0,194,58,43,False,106769.0,0,0,6.7451127994993625,Anomaly,Anomaly
491,16,490,1755169532287,-1,,7200000.0,True,-1,0,0,0,1,4,0,139.0,0,351,351,92,394,1755176732287.0,53,1,108525,37,False,0,268,69,63,False,108389.0,0,0,7.293356583177672,Anomaly,Anomaly
492,20,491,1755675226902,-1,,,False,1,0,0,0,2,0,2,141.0,0,-1,-1,-1,-1,,127,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,3.8555595282606023,Anomaly,Anomaly
497,16,496,1757143142734,-1,,,False,1,0,0,0,1,4,0,139.0,0,-1,-1,-1,-1,,52,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,6.826305422985542,Anomaly,Anomaly
498,16,497,1757143170660,386,1757143399437.0,228777.0,True,-1,0,0,0,1,4,0,139.0,0,110,110,256,398,1757150370660.0,51,1,784,9,True,0,285,15,17,False,66.0,0,0,5.6322531514852985,Anomaly,Anomaly
502,13,501,1758020531661,-1,,,False,1,0,0,0,2,0,0,140.0,0,-1,-1,-1,-1,,341,1,784,9,False,0,413,-1,17,False,66.0,0,2,4.953165291946517,Anomaly,Anomaly
501,20,500,1757163355607,389,1758020737671.0,857382064.0,True,-1,0,0,0,2,0,2,142.0,0,109,109,230,401,1757170555607.0,135,1,784,9,False,0,278,14,17,False,66.0,0,0,6.602981958546226,Anomaly,Anomaly
504,13,503,1758020809755,391,1758184887366.0,164077611.0,True,-1,0,0,0,2,0,0,140.0,0,119,119,412,403,1758028009755.0,478,1,784,9,False,0,280,14,17,False,66.0,0,0,4.150554920487527,Anomaly,Anomaly
508,18,507,1758544688882,-1,,,False,1,0,0,0,1,3,0,133.0,0,-1,-1,-1,-1,,515,1,33109,5,False,1,413,-1,9,False,34276.0,0,2,17.37885867945174,Anomaly,Anomaly
509,18,508,1758544801009,-1,,,False,1,0,0,0,1,4,0,133.0,0,-1,-1,-1,-1,,63,1,33109,5,False,0,413,-1,9,False,34276.0,0,2,7.390429722515727,Anomaly,Anomaly
510,18,509,1758544828379,395,1758612268787.0,67440408.0,True,-1,0,0,0,1,4,0,133.0,0,176,176,358,407,1758552028379.0,62,1,33109,5,False,0,236,8,9,False,34276.0,0,0,6.151485527181354,Anomaly,Anomaly
511,18,510,1758612268787,396,1758613678602.0,1409815.0,True,-1,0,0,0,1,4,0,133.0,0,179,179,407,408,1758619468787.0,60,1,33109,5,True,0,237,8,9,False,34276.0,0,0,6.2500852776009,Anomaly,Anomaly
512,18,511,1758613736835,397,1758613744803.0,7968.0,True,-1,0,0,0,1,4,0,133.0,0,65,65,17,409,1758620936835.0,59,1,93359,45,True,0,306,82,64,False,94526.0,0,0,7.49455392047298,Anomaly,Anomaly
513,18,512,1758613804440,398,1758613821286.0,16846.0,True,-1,0,0,0,1,4,0,133.0,0,178,178,403,410,1758621004440.0,56,1,33109,5,True,0,238,8,9,False,34276.0,0,0,6.254120375577298,Anomaly,Anomaly
514,18,513,1758613876265,-1,,,False,3,0,0,0,1,4,0,133.0,0,-1,-1,-1,-1,,58,1,89129,32,False,0,413,-1,48,False,90296.0,0,2,7.9178312585433925,Anomaly,Anomaly
515,18,514,1758613944635,399,1758623149632.0,9204997.0,True,-1,0,0,0,1,4,0,133.0,0,373,373,162,411,1758621144635.0,57,1,117896,44,False,0,96,79,65,False,117685.0,0,0,7.486833724155336,Anomaly,Anomaly
516,18,515,1758623149632,400,1758624565769.0,1416137.0,True,-1,0,0,0,1,4,0,133.0,0,371,371,59,412,1758630349632.0,61,1,117896,44,True,0,97,79,65,False,117685.0,0,0,7.564905354408754,Anomaly,Anomaly
